win,lose,probability
Toronto Raptors,New Orleans Pelicans,0.8801063553396783
Los Angeles Clippers,Los Angeles Lakers,0.6272110389627583
Charlotte Hornets,Chicago Bulls,0.8473355692495161
Indiana Pacers,Detroit Pistons,0.6677421294577305
Orlando Magic,Cleveland Cavaliers,0.9252812342191216
Brooklyn Nets,Minnesota Timberwolves,0.6024552498929203
Miami Heat,Memphis Grizzlies,0.6207274689481502
Philadelphia 76ers,Boston Celtics,0.6599130710522976
Dallas Mavericks,Washington Wizards,0.5398541926006987
San Antonio Spurs,New York Knicks,0.9552865389107051
Utah Jazz,Oklahoma City Thunder,0.5086172287814706
Sacramento Kings,Phoenix Suns,0.8548429732409737
Portland Trail Blazers,Denver Nuggets,0.5234933898556607
Detroit Pistons,Atlanta Hawks,0.735003017171779
Houston Rockets,Milwaukee Bucks,0.5211775817181349
Golden State Warriors,Los Angeles Clippers,0.7608551305478638
Toronto Raptors,Boston Celtics,0.6089165163947278
Charlotte Hornets,Minnesota Timberwolves,0.6054551821892619
Brooklyn Nets,New York Knicks,0.9008391426938686
Memphis Grizzlies,Chicago Bulls,0.8295202524329126
New Orleans Pelicans,Dallas Mavericks,0.5587392613382021
Oklahoma City Thunder,Washington Wizards,0.8088841953477255
Denver Nuggets,Phoenix Suns,0.969431355079399
Portland Trail Blazers,Sacramento Kings,0.7097490844876632
Utah Jazz,Los Angeles Lakers,0.5443491997819111
Milwaukee Bucks,Miami Heat,0.789676731309246
Philadelphia 76ers,Detroit Pistons,0.7302921776886402
Orlando Magic,Atlanta Hawks,0.7427458109267042
Boston Celtics,New York Knicks,0.9305925094191445
Toronto Raptors,Chicago Bulls,0.9410776527062776
Indiana Pacers,Cleveland Cavaliers,0.8966197969370782
Houston Rockets,New Orleans Pelicans,0.8271594076397497
San Antonio Spurs,Washington Wizards,0.80091416885195
Utah Jazz,Sacramento Kings,0.7452004406860623
Los Angeles Clippers,Phoenix Suns,0.9204142762934764
Golden State Warriors,Oklahoma City Thunder,0.5570758012248314
Memphis Grizzlies,Brooklyn Nets,0.5336171113889255
Portland Trail Blazers,Dallas Mavericks,0.7469559219563335
Miami Heat,Minnesota Timberwolves,0.5247670518958781
Los Angeles Lakers,Charlotte Hornets,0.6118544442595643
Chicago Bulls,New York Knicks,0.6056490843743902
Indiana Pacers,Detroit Pistons,0.5492628421539032
Toronto Raptors,Orlando Magic,0.7952718860341144
Philadelphia 76ers,Atlanta Hawks,0.8614053201200512
Houston Rockets,Oklahoma City Thunder,0.5978710274415289
Milwaukee Bucks,Cleveland Cavaliers,0.9681017133856673
Golden State Warriors,New Orleans Pelicans,0.8100242328089357
San Antonio Spurs,Portland Trail Blazers,0.5373849936028224
Utah Jazz,Phoenix Suns,0.9300831747563271
Denver Nuggets,Sacramento Kings,0.7433619505466804
Los Angeles Clippers,Charlotte Hornets,0.6797886033753779
Miami Heat,Atlanta Hawks,0.7829651431403051
Denver Nuggets,Dallas Mavericks,0.8472809263626925
Los Angeles Lakers,Memphis Grizzlies,0.6433728039023936
Chicago Bulls,Cleveland Cavaliers,0.5965701531845821
Orlando Magic,New York Knicks,0.9279441753837587
Philadelphia 76ers,Minnesota Timberwolves,0.8240552008463178
Milwaukee Bucks,Boston Celtics,0.554825855887983
Indiana Pacers,Brooklyn Nets,0.5169214261869675
Toronto Raptors,Detroit Pistons,0.8600557175603022
Oklahoma City Thunder,Portland Trail Blazers,0.5499770703609347
Houston Rockets,Washington Wizards,0.7459931020639446
Sacramento Kings,Charlotte Hornets,0.5089972563229995
Utah Jazz,Los Angeles Clippers,0.5982764057955329
Golden State Warriors,Phoenix Suns,0.9763359808923042
Miami Heat,Atlanta Hawks,0.7075003528213418
Denver Nuggets,New Orleans Pelicans,0.7666762316553581
San Antonio Spurs,Los Angeles Clippers,0.5143447870552241
Houston Rockets,Brooklyn Nets,0.6782135015920184
Indiana Pacers,Cleveland Cavaliers,0.9245655971368407
Milwaukee Bucks,Orlando Magic,0.6444852494478506
Boston Celtics,New York Knicks,0.9493205905734722
Detroit Pistons,Chicago Bulls,0.776442178837109
Los Angeles Lakers,Dallas Mavericks,0.5950335877240149
Utah Jazz,Sacramento Kings,0.6449662924271673
Golden State Warriors,San Antonio Spurs,0.6985026523832102
Oklahoma City Thunder,New Orleans Pelicans,0.8089104806533551
Detroit Pistons,Brooklyn Nets,0.5309035759345478
Denver Nuggets,Orlando Magic,0.6284883707964857
Memphis Grizzlies,Phoenix Suns,0.898002188642948
Milwaukee Bucks,Toronto Raptors,0.5197302093974968
Washington Wizards,Minnesota Timberwolves,0.5209688969136052
Golden State Warriors,Charlotte Hornets,0.8389414744678945
Portland Trail Blazers,Philadelphia 76ers,0.5256282501112021
Indiana Pacers,Chicago Bulls,0.8849285632578091
Houston Rockets,Miami Heat,0.6485521259250855
Sacramento Kings,New York Knicks,0.8485996167802864
San Antonio Spurs,Los Angeles Lakers,0.7000316001611172
Dallas Mavericks,Cleveland Cavaliers,0.8236836571989428
Los Angeles Clippers,Utah Jazz,0.5299197736382251
Washington Wizards,Detroit Pistons,0.5068916746225639
Brooklyn Nets,New Orleans Pelicans,0.6311222749913472
Houston Rockets,Memphis Grizzlies,0.7036323979165917
Milwaukee Bucks,Minnesota Timberwolves,0.7540988952213513
Philadelphia 76ers,Phoenix Suns,0.9546068606253522
Golden State Warriors,Portland Trail Blazers,0.6726542485898768
Indiana Pacers,Charlotte Hornets,0.5137889136254066
Boston Celtics,Cleveland Cavaliers,0.9281065471738196
San Antonio Spurs,Atlanta Hawks,0.8243725665902936
Los Angeles Lakers,Chicago Bulls,0.8337036602621846
Oklahoma City Thunder,Orlando Magic,0.6913652598514693
Denver Nuggets,Miami Heat,0.7755717720040728
Detroit Pistons,New York Knicks,0.8886081502039469
Indiana Pacers,Washington Wizards,0.7058899910086373
Atlanta Hawks,Chicago Bulls,0.6770888924280122
Golden State Warriors,Houston Rockets,0.526630084747244
Toronto Raptors,Sacramento Kings,0.8656597196846495
Memphis Grizzlies,Minnesota Timberwolves,0.5736170842233264
Orlando Magic,Dallas Mavericks,0.6169236035740215
Philadelphia 76ers,Utah Jazz,0.5497500584645287
Milwaukee Bucks,Los Angeles Clippers,0.6024913506321381
Boston Celtics,Charlotte Hornets,0.6113314963958256
San Antonio Spurs,Oklahoma City Thunder,0.555560180860114
Miami Heat,Phoenix Suns,0.8911170012146505
Portland Trail Blazers,Los Angeles Clippers,0.5442236762459022
Indiana Pacers,Detroit Pistons,0.6677421294577305
Orlando Magic,Memphis Grizzlies,0.670111914725437
Washington Wizards,Cleveland Cavaliers,0.8624320427476785
Sacramento Kings,Atlanta Hawks,0.6351035704278123
Golden State Warriors,Minnesota Timberwolves,0.7878436821889083
Toronto Raptors,New Orleans Pelicans,0.814777421965831
Dallas Mavericks,New York Knicks,0.8616991334491859
Denver Nuggets,Philadelphia 76ers,0.5735396780322685
Milwaukee Bucks,Utah Jazz,0.5689010392622775
Portland Trail Blazers,Brooklyn Nets,0.7724997686721262
Los Angeles Lakers,Miami Heat,0.5763729913872311
San Antonio Spurs,Boston Celtics,0.5962102147623101
Charlotte Hornets,New Orleans Pelicans,0.6340372891017095
Houston Rockets,Chicago Bulls,0.9129322771173013
Memphis Grizzlies,Dallas Mavericks,0.6063316925033496
Golden State Warriors,Oklahoma City Thunder,0.5570758012248314
Denver Nuggets,Minnesota Timberwolves,0.7410525205001335
Orlando Magic,Indiana Pacers,0.5698490957479261
Philadelphia 76ers,Charlotte Hornets,0.794650040937519
Milwaukee Bucks,Oklahoma City Thunder,0.5094789652839353
New York Knicks,Cleveland Cavaliers,0.509260734454456
Brooklyn Nets,Phoenix Suns,0.8728127992386318
Portland Trail Blazers,Atlanta Hawks,0.8927232372267957
Toronto Raptors,Los Angeles Lakers,0.7183141298515622
Detroit Pistons,Minnesota Timberwolves,0.5709491539766984
Boston Celtics,Dallas Mavericks,0.7815366200592123
San Antonio Spurs,Memphis Grizzlies,0.7711643748844155
Houston Rockets,New Orleans Pelicans,0.742791239233909
Golden State Warriors,Utah Jazz,0.7344648482043387
Toronto Raptors,Los Angeles Clippers,0.654398019318914
Oklahoma City Thunder,Indiana Pacers,0.5728160529445065
Philadelphia 76ers,Cleveland Cavaliers,0.9642837808785084
Miami Heat,Detroit Pistons,0.620634541779834
Chicago Bulls,New York Knicks,0.646155298683357
Denver Nuggets,Atlanta Hawks,0.9099126964123654
Los Angeles Lakers,Phoenix Suns,0.8991231318736931
Utah Jazz,Brooklyn Nets,0.7150862486475481
Portland Trail Blazers,Sacramento Kings,0.7097490844876632
Charlotte Hornets,Memphis Grizzlies,0.5920112738139331
Philadelphia 76ers,Orlando Magic,0.6264874760752144
Boston Celtics,Washington Wizards,0.7791135213200301
Houston Rockets,Los Angeles Clippers,0.681444577637507
San Antonio Spurs,Minnesota Timberwolves,0.681816513248311
Golden State Warriors,Los Angeles Lakers,0.7119606129086189
Toronto Raptors,Portland Trail Blazers,0.5492588022037879
Miami Heat,Cleveland Cavaliers,0.8823520453341168
Milwaukee Bucks,Chicago Bulls,0.9501062510379645
Los Angeles Clippers,New Orleans Pelicans,0.641786831190235
Dallas Mavericks,New York Knicks,0.8291155761003447
Atlanta Hawks,Phoenix Suns,0.7368532678636951
Denver Nuggets,Brooklyn Nets,0.8047396992168869
Charlotte Hornets,Detroit Pistons,0.5919159363563694
San Antonio Spurs,Orlando Magic,0.5588320840835214
Houston Rockets,Indiana Pacers,0.723298306594285
Utah Jazz,Memphis Grizzlies,0.6288379892341784
Minnesota Timberwolves,Washington Wizards,0.589065254976873
Oklahoma City Thunder,Philadelphia 76ers,0.5099455733747584
Golden State Warriors,Boston Celtics,0.7231405884750987
Los Angeles Lakers,Sacramento Kings,0.654075392978079
Brooklyn Nets,Chicago Bulls,0.7942356087214727
Milwaukee Bucks,Indiana Pacers,0.6468430451019221
Charlotte Hornets,New York Knicks,0.8705180918105931
Miami Heat,New Orleans Pelicans,0.6614868775770464
Houston Rockets,Minnesota Timberwolves,0.7155177787215431
Toronto Raptors,Dallas Mavericks,0.823974731968721
San Antonio Spurs,Portland Trail Blazers,0.5373849936028224
Los Angeles Clippers,Atlanta Hawks,0.8426544938769561
Philadelphia 76ers,Cleveland Cavaliers,0.9506698399115824
Boston Celtics,Sacramento Kings,0.6579757439341878
Denver Nuggets,Memphis Grizzlies,0.7298311417382453
Orlando Magic,Washington Wizards,0.7080250409962544
Golden State Warriors,New Orleans Pelicans,0.8100242328089357
Los Angeles Lakers,Atlanta Hawks,0.7990594864553697
New York Knicks,Cleveland Cavaliers,0.509260734454456
Indiana Pacers,Brooklyn Nets,0.5169214261869675
Toronto Raptors,Charlotte Hornets,0.8430670892172255
Milwaukee Bucks,Chicago Bulls,0.9274547737328744
Houston Rockets,Portland Trail Blazers,0.5801184094032544
San Antonio Spurs,Dallas Mavericks,0.7236179114893191
Boston Celtics,Phoenix Suns,0.9337187849385689
Utah Jazz,Minnesota Timberwolves,0.7469042849307854
Oklahoma City Thunder,Los Angeles Clippers,0.5259804452711875
Golden State Warriors,Memphis Grizzlies,0.7780426566670045
Portland Trail Blazers,New Orleans Pelicans,0.7350284838383958
Sacramento Kings,Phoenix Suns,0.8914337785407268
Oklahoma City Thunder,Los Angeles Lakers,0.5990964996159337
Philadelphia 76ers,New York Knicks,0.9656083557919309
San Antonio Spurs,Washington Wizards,0.7144613701232525
Milwaukee Bucks,Atlanta Hawks,0.8704247360057074
Brooklyn Nets,Charlotte Hornets,0.5559706507375117
Golden State Warriors,Dallas Mavericks,0.8194052505220044
Miami Heat,Cleveland Cavaliers,0.9089028985586517
Toronto Raptors,Orlando Magic,0.7952718860341144
Detroit Pistons,Chicago Bulls,0.776442178837109
Utah Jazz,Minnesota Timberwolves,0.6421976105982745
Denver Nuggets,Houston Rockets,0.6027312092404036
Los Angeles Clippers,Boston Celtics,0.515625200861604
Milwaukee Bucks,Portland Trail Blazers,0.6318197846722544
New Orleans Pelicans,Phoenix Suns,0.8379128445388787
Detroit Pistons,Atlanta Hawks,0.735003017171779
Charlotte Hornets,Washington Wizards,0.5267135950156256
Brooklyn Nets,Sacramento Kings,0.600299363351276
Miami Heat,Chicago Bulls,0.8215360395386704
Oklahoma City Thunder,Los Angeles Lakers,0.7105808620911341
Philadelphia 76ers,San Antonio Spurs,0.6325078787812473
Dallas Mavericks,Cleveland Cavaliers,0.8569653662499288
Denver Nuggets,Boston Celtics,0.6675173314362771
Golden State Warriors,Utah Jazz,0.6150881148909477
Houston Rockets,Los Angeles Clippers,0.5541859205395347
Minnesota Timberwolves,Phoenix Suns,0.8925964115668288
Charlotte Hornets,Chicago Bulls,0.8473355692495161
Indiana Pacers,Orlando Magic,0.5595261266496793
Toronto Raptors,Atlanta Hawks,0.8935275372523642
San Antonio Spurs,New York Knicks,0.9379492215150476
Philadelphia 76ers,Miami Heat,0.769585785200474
Portland Trail Blazers,Cleveland Cavaliers,0.9425590258845951
Los Angeles Lakers,Memphis Grizzlies,0.5316542714466972
Milwaukee Bucks,Detroit Pistons,0.8326763373398846
Utah Jazz,New Orleans Pelicans,0.7691464430615284
Houston Rockets,Dallas Mavericks,0.8291469246930999
Brooklyn Nets,New York Knicks,0.8672222937393775
Washington Wizards,Sacramento Kings,0.518724125331301
Denver Nuggets,Phoenix Suns,0.969431355079399
Los Angeles Clippers,New Orleans Pelicans,0.7436468055528487
Brooklyn Nets,Cleveland Cavaliers,0.8628012351580364
Orlando Magic,Detroit Pistons,0.5570956786536716
Indiana Pacers,Memphis Grizzlies,0.667829693329434
Minnesota Timberwolves,Atlanta Hawks,0.6330168853773873
Boston Celtics,Sacramento Kings,0.7559046124659852
Miami Heat,Charlotte Hornets,0.588487848634384
Toronto Raptors,Philadelphia 76ers,0.6434291573116946
Portland Trail Blazers,Chicago Bulls,0.909680117412382
Milwaukee Bucks,Utah Jazz,0.6978777230795067
San Antonio Spurs,Los Angeles Lakers,0.7000316001611172
Golden State Warriors,Oklahoma City Thunder,0.6885946186725355
Los Angeles Clippers,Dallas Mavericks,0.6559468291600511
Denver Nuggets,Washington Wizards,0.8454428258935666
Boston Celtics,Brooklyn Nets,0.7265913658142719
Charlotte Hornets,Detroit Pistons,0.5919159363563694
Orlando Magic,Cleveland Cavaliers,0.899520574261153
Utah Jazz,Indiana Pacers,0.5173710610258015
Philadelphia 76ers,Sacramento Kings,0.8227474801691833
Toronto Raptors,New York Knicks,0.9749859808167087
Houston Rockets,Miami Heat,0.7514210718367453
Los Angeles Clippers,Memphis Grizzlies,0.5956220715874463
Milwaukee Bucks,Atlanta Hawks,0.9164837250688475
San Antonio Spurs,Minnesota Timberwolves,0.7808898039204256
Washington Wizards,Phoenix Suns,0.8379359372744666
Los Angeles Lakers,New Orleans Pelicans,0.5799719289864425
Portland Trail Blazers,Oklahoma City Thunder,0.5833974720179879
Golden State Warriors,Chicago Bulls,0.9579872338576662
Boston Celtics,Brooklyn Nets,0.6143073288442931
Detroit Pistons,Charlotte Hornets,0.5236931636598195
Toronto Raptors,Orlando Magic,0.693696173701889
Milwaukee Bucks,Cleveland Cavaliers,0.9541890694215514
Philadelphia 76ers,New York Knicks,0.9524156003984284
Indiana Pacers,Atlanta Hawks,0.8158948593703118
Utah Jazz,Memphis Grizzlies,0.6288379892341784
Golden State Warriors,Miami Heat,0.7315147948788745
Oklahoma City Thunder,New Orleans Pelicans,0.8089104806533551
San Antonio Spurs,Los Angeles Clippers,0.6426715834926465
Dallas Mavericks,Phoenix Suns,0.8360071318185913
Portland Trail Blazers,Chicago Bulls,0.9352354455065145
Los Angeles Lakers,Washington Wizards,0.6829048222023241
Denver Nuggets,Sacramento Kings,0.7433619505466804
Philadelphia 76ers,Indiana Pacers,0.7428146973917035
Houston Rockets,Atlanta Hawks,0.898323186438671
Milwaukee Bucks,Charlotte Hornets,0.8130863104803031
Brooklyn Nets,Miami Heat,0.5193933843201836
Minnesota Timberwolves,Memphis Grizzlies,0.545618383537663
Boston Celtics,New York Knicks,0.9305925094191445
Los Angeles Lakers,Dallas Mavericks,0.6859579132481617
San Antonio Spurs,Detroit Pistons,0.6715826079999652
Oklahoma City Thunder,New Orleans Pelicans,0.7205002204084359
Golden State Warriors,Orlando Magic,0.687029321062174
Toronto Raptors,Utah Jazz,0.7404386931106981
Los Angeles Clippers,Washington Wizards,0.7436143882908385
Charlotte Hornets,Phoenix Suns,0.9094423285479797
Philadelphia 76ers,Utah Jazz,0.6726528066323049
Golden State Warriors,Atlanta Hawks,0.8905237031414077
Indiana Pacers,Memphis Grizzlies,0.5465629847930917
Milwaukee Bucks,New York Knicks,0.9692892055806713
Sacramento Kings,Chicago Bulls,0.8194285552884426
Detroit Pistons,Cleveland Cavaliers,0.8498158345479855
Orlando Magic,Washington Wizards,0.6061561569020895
New Orleans Pelicans,Dallas Mavericks,0.5587392613382021
Toronto Raptors,Miami Heat,0.8225931102450278
San Antonio Spurs,Houston Rockets,0.5273675004460627
Denver Nuggets,Los Angeles Lakers,0.760373273764606
Portland Trail Blazers,Los Angeles Clippers,0.5442236762459022
Golden State Warriors,Charlotte Hornets,0.7544841197786887
Milwaukee Bucks,Detroit Pistons,0.7453214442727383
Orlando Magic,Phoenix Suns,0.9335937260940672
Brooklyn Nets,Atlanta Hawks,0.6697675498056688
Boston Celtics,Miami Heat,0.6902430822268986
Memphis Grizzlies,Chicago Bulls,0.7763736590458669
Oklahoma City Thunder,Indiana Pacers,0.6980860397355257
Dallas Mavericks,Minnesota Timberwolves,0.5096481015819158
Utah Jazz,Los Angeles Lakers,0.6589814220786498
Portland Trail Blazers,Sacramento Kings,0.7982576190758344
Philadelphia 76ers,Washington Wizards,0.7681519519308226
Denver Nuggets,New York Knicks,0.9528020466501529
Toronto Raptors,Houston Rockets,0.6705844098327755
New Orleans Pelicans,Phoenix Suns,0.8786118166503261
Charlotte Hornets,Brooklyn Nets,0.5661831447231663
Orlando Magic,Cleveland Cavaliers,0.899520574261153
Indiana Pacers,Detroit Pistons,0.5492628421539032
Denver Nuggets,Boston Celtics,0.5376886053845968
Golden State Warriors,Chicago Bulls,0.939324221537073
Miami Heat,Washington Wizards,0.6614488006795171
Oklahoma City Thunder,Minnesota Timberwolves,0.789450728680306
Milwaukee Bucks,Los Angeles Clippers,0.7265504203284626
San Antonio Spurs,Sacramento Kings,0.7793471605363662
Portland Trail Blazers,Los Angeles Lakers,0.7233264169784577
Dallas Mavericks,New Orleans Pelicans,0.539896432404516
Indiana Pacers,New York Knicks,0.9000773020020776
Philadelphia 76ers,Cleveland Cavaliers,0.9642837808785084
Houston Rockets,Phoenix Suns,0.9652059819306138
Utah Jazz,Memphis Grizzlies,0.7361800076319048
Denver Nuggets,Brooklyn Nets,0.70571949165977
Charlotte Hornets,Atlanta Hawks,0.7618192060724108
Miami Heat,Chicago Bulls,0.862261961809151
Toronto Raptors,Philadelphia 76ers,0.5095094267332364
Los Angeles Clippers,Washington Wizards,0.6456462180407114
Dallas Mavericks,Sacramento Kings,0.5074004411642663
Portland Trail Blazers,Oklahoma City Thunder,0.5833974720179879
Los Angeles Lakers,Minnesota Timberwolves,0.6561073880601694
Indiana Pacers,Los Angeles Clippers,0.5176092963681057
Boston Celtics,Cleveland Cavaliers,0.947402871594331
Toronto Raptors,Chicago Bulls,0.9410776527062776
Houston Rockets,Sacramento Kings,0.8077266905627472
Milwaukee Bucks,Orlando Magic,0.7587728416747086
New Orleans Pelicans,Detroit Pistons,0.511097275500594
Minnesota Timberwolves,Phoenix Suns,0.8537234650424677
Utah Jazz,Oklahoma City Thunder,0.5086172287814706
Golden State Warriors,Memphis Grizzlies,0.8563491539607183
Charlotte Hornets,Washington Wizards,0.6339978329774514
Miami Heat,Atlanta Hawks,0.7829651431403051
Philadelphia 76ers,Denver Nuggets,0.5630813075819713
Portland Trail Blazers,New York Knicks,0.9598945261744063
Houston Rockets,Cleveland Cavaliers,0.9446992798911995
Boston Celtics,Indiana Pacers,0.5316609088379612
Orlando Magic,Los Angeles Lakers,0.5844921927450988
Toronto Raptors,Los Angeles Clippers,0.7664240767634973
Brooklyn Nets,Charlotte Hornets,0.5559706507375117
Atlanta Hawks,Chicago Bulls,0.6116526250977354
Utah Jazz,Minnesota Timberwolves,0.6421976105982745
Memphis Grizzlies,Phoenix Suns,0.8605745371214146
Milwaukee Bucks,New Orleans Pelicans,0.8559929481724358
Oklahoma City Thunder,Sacramento Kings,0.6944110186052208
Golden State Warriors,New York Knicks,0.9742223480727545
Philadelphia 76ers,Boston Celtics,0.5355600634330983
San Antonio Spurs,Cleveland Cavaliers,0.9535835345658956
Detroit Pistons,Dallas Mavericks,0.6037270487668952
Denver Nuggets,Portland Trail Blazers,0.6123255865535775
Miami Heat,Los Angeles Lakers,0.5312561518488071
Houston Rockets,Orlando Magic,0.5978769440513105
Philadelphia 76ers,New Orleans Pelicans,0.8409609872809208
Indiana Pacers,Atlanta Hawks,0.7366441353185522
Charlotte Hornets,Chicago Bulls,0.7989230170253796
Milwaukee Bucks,Memphis Grizzlies,0.7432469951772102
Golden State Warriors,Utah Jazz,0.6150881148909477
Los Angeles Clippers,Minnesota Timberwolves,0.6094347077572384
Sacramento Kings,New York Knicks,0.8826483012333721
